NAME,CATEGORY,CODE,UNIT COST,SELLING PRICE,QTY,UNIT,REORDER_LEVEL,SUPPLIER,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18
OVERHAULING GASKET KRS XRM110,ENGINE,LS,₱80.00,₱180.00,3,SET,0,NA,,,,,,,,,,,,,,,,
OVERHAULING GASKET KRYOX SNIPER135,ENGINE,LF,₱85.00,₱180.00,1,SET,0,NA,,,,,,,,,,,,,,,,
OVERHAULING GASKET YAKIMOTO R150,ENGINE,VZ,₱76.00,₱180.00,2,SET,0,NA,,,,,,,,,,,,,,,,
PAINT SAMURAI BLK,PAINT,NJS,₱190.00,₱250.00,2,PC,0,NA,,,,,,,,,,,,,,,,
PAINT SAMURAI CLR,PAINT,NJS,₱190.00,₱250.00,10,PC,0,NA,,,,,,,,,,,,,,,,
PAINT SAMURAI HiTemp BLK,PAINT,QBS,₱320.00,₱420.00,15,PC,0,NA,,,,,,,,,,,,,,,,
PAINT SAMURAI PRIMER,PAINT,BNS,₱210.00,₱295.00,12,PC,0,NA,,,,,,,,,,,,,,,,
PAINT SAMURAI RED,PAINT,NJF,₱195.00,₱250.00,2,PC,0,NA,,,,,,,,,,,,,,,,
PAINT SAMURAI SLV,PAINT,NJS,₱190.00,₱250.00,5,PC,0,NA,,,,,,,,,,,,,,,,
PAINT SAMURAI WHT,PAINT,NJF,₱195.00,₱250.00,3,PC,0,NA,,,,,,,,,,,,,,,,
PAINT SHERLUX BLK,PAINT,NNB,₱112.00,₱165.00,11,PC,0,NA,,,,,,,,,,,,,,,,
PAINT SHERLUX FLAT BLK,PAINT,NNB,₱112.00,₱180.00,12,PC,0,NA,,,,,,,,,,,,,,,,
PAINT SHERLUX FLUORESCENT MAG,PAINT,NFV,₱157.00,₱185.00,5,PC,0,NA,,,,,,,,,,,,,,,,
PAINT SHERLUX FLUORESCENT PNK,PAINT,NFV,₱157.00,₱185.00,5,PC,0,NA,,,,,,,,,,,,,,,,
PAINT SHERLUX FLUORESCENT VLT,PAINT,NFV,₱157.00,₱185.00,4,PC,0,NA,,,,,,,,,,,,,,,,
PAINT SHERLUX HiTemp SLV,PAINT,BQB,₱232.00,₱280.00,6,PC,0,NA,,,,,,,,,,,,,,,,
PAINT SHERLUX HONDA RED,PAINT,NSV,₱107.00,₱150.00,1,PC,0,NA,,,,,,,,,,,,,,,,
PAINT SHERLUX MDM BLU,PAINT,JV,₱97.00,₱135.00,2,PC,0,NA,,,,,,,,,,,,,,,,
PEANUT BULB GLOBAL BIG WHT,LIGHTS,Q,₱3.00,₱10.00,85,PC,0,NA,,,,,,,,,,,,,,,,
PEANUT BULB T10 SMALL ORG,LIGHTS,Q,₱3.00,₱10.00,15,PC,0,NA,,,,,,,,,,,,,,,,
PEANUT BULB T10 SMALL WHT,LIGHTS,Q,₱3.00,₱10.00,127,PC,0,NA,,,,,,,,,,,,,,,,
PEANUT BULB T13 BIG ORG,LIGHTS,Q,₱3.00,₱10.00,62,PC,0,NA,,,,,,,,,,,,,,,,
PHONE HOLDER MAGIC STAR W/ USB,ACCESSORIES,QSC,₱300.00,₱500.00,7,PC,0,HMJ,,,,,,,,,,,,,,,,
PHONE HOLDER SMOK ALLOY,ACCESSORIES,BLF,₱285.00,₱550.00,2,PC,0,HNG,,,,,,,,,,,,,,,,
PISTON KIT M.DIALLO SMASH110,ENGINE,SIX,0IX,₱380.00,2,SET,0,NA,,,,,,,,,,,,,,,,
PISTON KIT M.DIALLO SMASH115,ENGINE,SIX,0IX,₱380.00,2,SET,0,NA,,,,,,,,,,,,,,,,
PISTON KIT MAKOTO CT100,ENGINE,MQB,₱432.00,₱800.00,1,SET,0,NA,,,,,,,,,,,,,,,,
PISTON KIT TGO BEAT,ENGINE,BQS,₱230.00,₱480.00,1,SET,0,NA,,,,,,,,,,,,,,,,
PISTON KIT TGO CLICK125,ENGINE,BZS,₱260.00,₱480.00,3,SET,0,NA,,,,,,,,,,,,,,,,
PISTON KIT TGO SMASH110,ENGINE,BFS,₱250.00,₱480.00,1,SET,0,NA,,,,,,,,,,,,,,,,
PISTON KIT TGO TMX155,ENGINE,BFS,₱250.00,₱480.00,2,SET,0,NA,,,,,,,,,,,,,,,,
PISTON KIT TGO WAVE125/XRM125,ENGINE,BMS,₱240.00,₱480.00,3,SET,0,NA,,,,,,,,,,,,,,,,
PISTON KIT TGO XRM110,ENGINE,BQS,₱230.00,₱480.00,3,SET,0,NA,,,,,,,,,,,,,,,,
PISTON RING MAKOTO XRM110/W110,ENGINE,NJQ,₱193.00,₱450.00,1,SET,0,NA,,,,,,,,,,,,,,,,
PLAIN WASHER ORD 10MM,BOLT&NUT,N,₱1.00,₱5.00,273,PC,0,NA,,,,,,,,,,,,,,,,
PLAIN WASHER ORD 12MM,BOLT&NUT,Q,₱3.00,₱10.00,76,PC,0,NA,,,,,,,,,,,,,,,,
PLAIN WASHER ORD 5MM,BOLT&NUT,N,₱1.00,₱5.00,71,PC,0,NA,,,,,,,,,,,,,,,,
PLAIN WASHER ORD 6MM,BOLT&NUT,N,₱1.00,₱5.00,114,PC,0,NA,,,,,,,,,,,,,,,,
PLAIN WASHER ORD 8MM,BOLT&NUT,N,₱1.00,₱5.00,340,PC,0,NA,,,,,,,,,,,,,,,,
PLAIN WASHER S/S 6MM,BOLT&NUT,N,₱1.00,₱10.00,63,PC,0,NA,,,,,,,,,,,,,,,,
PLASTIC CLIP RIVETS,BOLT&NUT,M,₱4.00,₱15.00,83,PC,0,NA,,,,,,,,,,,,,,,,
PRIMARY CLUTCH ASSY MRTR XRM110/W100,CVT/TRANSMISSION,BQS,₱230.00,"₱1,200.00",1,PC,0,NA,,,,,,,,,,,,,,,,
PULLEY BALL PITSBIKE AEROX 12G,CVT/TRANSMISSION,NQS,₱130.00,₱250.00,5,PC,0,NA,,,,,,,,,,,,,,,,
PULLEY BALL PITSBIKE AEROX 13G,CVT/TRANSMISSION,NQS,₱130.00,₱250.00,2,PC,0,NA,,,,,,,,,,,,,,,,
PULLEY BALL PITSBIKE AEROX 8G,CVT/TRANSMISSION,NQS,₱130.00,₱250.00,9,PC,0,NA,,,,,,,,,,,,,,,,
PULLEY BALL PITSBIKE BEATFI 10G,CVT/TRANSMISSION,NBS,₱120.00,₱250.00,3,PC,0,NA,,,,,,,,,,,,,,,,
PULLEY BALL PITSBIKE BEATFI 11G,CVT/TRANSMISSION,NBS,₱120.00,₱250.00,2,PC,0,NA,,,,,,,,,,,,,,,,
PULLEY BALL PITSBIKE BEATFI 12G,CVT/TRANSMISSION,NBS,₱120.00,₱250.00,1,PC,0,NA,,,,,,,,,,,,,,,,
PULLEY BALL PITSBIKE CLICK150 18G,CVT/TRANSMISSION,NQS,₱130.00,₱250.00,5,PC,0,NA,,,,,,,,,,,,,,,,
PULLEY BALL PITSBIKE CLICK150 9G,CVT/TRANSMISSION,NQS,₱130.00,₱250.00,4,PC,0,NA,,,,,,,,,,,,,,,,
PULLEY BALL PITSBIKE MIO 9G,CVT/TRANSMISSION,JF,₱95.00,₱200.00,3,PC,0,NA,,,,,,,,,,,,,,,,
PULLEY SET HIRC BEATFI,CVT/TRANSMISSION,NQVS,"₱1,370.00","₱1,800.00",1,SET,0,NA,,,,,,,,,,,,,,,,
PULLEY SET JVT CLICK125/150,CVT/TRANSMISSION,BSFF,"₱2,055.00","₱3,000.00",3,SET,0,NA,,,,,,,,,,,,,,,,
